Name,Position,Team,ProjectedPoints,Price
Ricky Seals-Jones,TE,ARI,0,1
Scott Orndoff,TE,DET,0,1
Taylor McNamara,TE,CLE,0,1
Henry Krieger-Coble,TE,IND,0,1
Gabe Holmes,TE,OAK,0,1
Jacob Hollister,TE,NEP,0,1
Clark Harris,TE,CIN,0,1
Thomas Duarte,TE,MIA,0,1
Darrell Daniels,TE,IND,0,1
Orson Charles,TE,KCC,0,1
Cethan Carter,TE,CIN,0,1
Jeff Cumberland,TE,LAC,-0.1,1
Kansas City Chiefs,DEF,KCC,128.8,7.9
Denver Broncos,DEF,DEN,129,7.6
Arizona Cardinals,DEF,ARI,126.1,7.4
Carolina Panthers,DEF,CAR,116.6,5
New England Patriots,DEF,NEP,119.9,4.9
Minnesota Vikings,DEF,MIN,119.7,4.6
Seattle Seahawks,DEF,SEA,118.7,4.5
Philadelphia Eagles,DEF,PHI,118.8,4.4
Houston Texans,DEF,HOU,119.7,3.8
Baltimore Ravens,DEF,BAL,112,3.2
New York Giants,DEF,NYG,113.6,3
Jacksonville Jaguars,DEF,JAC,112.6,2.1
Tampa Bay Buccaneers,DEF,TBB,111.2,1
Cincinnati Bengals,DEF,CIN,108.9,1
Los Angeles Chargers,DEF,LAC,108.9,1
Pittsburgh Steelers,DEF,PIT,107.9,1
Miami Dolphins,DEF,MIA,104.8,1
Oakland Raiders,DEF,OAK,104.2,1
Green Bay Packers,DEF,GBP,104,1
Washington Redskins,DEF,WAS,103.8,1
Dallas Cowboys,DEF,DAL,103.3,1
Tennessee Titans,DEF,TEN,102.9,1
Los Angeles Rams,DEF,LAR,102.8,1
Atlanta Falcons,DEF,ATL,102.4,1
Indianapolis Colts,DEF,IND,97.5,1
Buffalo Bills,DEF,BUF,96.1,1
Detroit Lions,DEF,DET,91.1,1
Chicago Bears,DEF,CHI,90.2,1
San Francisco 49ers,DEF,SFO,89.3,1
New Orleans Saints,DEF,NOS,89.2,1
New York Jets,DEF,NYJ,87,1
Cleveland Browns,DEF,CLE,86.3,1
